user_id,step,device_type,hour_of_day
U000000,app_open,ios,15
U000000,signup_start,ios,15
U000000,id_upload,ios,15
U000000,id_verified,ios,15
U000000,address_entered,ios,15
U000000,account_funded,ios,15
U000000,first_payment,ios,15
U000001,app_open,new_android,23
U000001,signup_start,new_android,23
U000001,id_upload,new_android,23
U000002,app_open,ios,6
U000002,signup_start,ios,6
U000002,id_upload,ios,6
U000002,id_verified,ios,6
U000002,address_entered,ios,6
U000003,app_open,ios,16
U000003,signup_start,ios,16
U000003,id_upload,ios,16
U000003,id_verified,ios,16
U000003,address_entered,ios,16
U000003,account_funded,ios,16
U000003,first_payment,ios,16
U000004,app_open,ios,5
U000005,app_open,ios,4
U000006,app_open,new_android,11
U000006,signup_start,new_android,11
U000006,id_upload,new_android,11
U000006,id_verified,new_android,11
U000006,address_entered,new_android,11
U000006,account_funded,new_android,11
U000006,first_payment,new_android,11
U000007,app_open,new_android,11
U000008,app_open,ios,8
U000008,signup_start,ios,8
U000008,id_upload,ios,8
U000009,app_open,new_android,23
U000009,signup_start,new_android,23
U000009,id_upload,new_android,23
U000009,id_verified,new_android,23
U000009,address_entered,new_android,23
U000009,account_funded,new_android,23
U000009,first_payment,new_android,23
U000010,app_open,ios,5
U000010,signup_start,ios,5
U000010,id_upload,ios,5
U000011,app_open,old_android,16
U000011,signup_start,old_android,16
U000011,id_upload,old_android,16
U000011,id_verified,old_android,16
U000011,address_entered,old_android,16
U000011,account_funded,old_android,16
U000011,first_payment,old_android,16
U000012,app_open,ios,19
U000012,signup_start,ios,19
U000013,app_open,ios,6
U000014,app_open,new_android,15
U000014,signup_start,new_android,15
U000014,id_upload,new_android,15
U000014,id_verified,new_android,15
U000014,address_entered,new_android,15
U000015,app_open,ios,10
U000015,signup_start,ios,10
U000015,id_upload,ios,10
U000015,id_verified,ios,10
U000015,address_entered,ios,10
U000016,app_open,ios,20
U000016,signup_start,ios,20
U000016,id_upload,ios,20
U000017,app_open,ios,17
U000017,signup_start,ios,17
U000017,id_upload,ios,17
U000017,id_verified,ios,17
U000017,address_entered,ios,17
U000018,app_open,ios,9
U000018,signup_start,ios,9
U000018,id_upload,ios,9
U000018,id_verified,ios,9
U000018,address_entered,ios,9
U000019,app_open,ios,21
U000019,signup_start,ios,21
U000019,id_upload,ios,21
U000019,id_verified,ios,21
U000020,app_open,new_android,17
U000020,signup_start,new_android,17
U000020,id_upload,new_android,17
U000021,app_open,ios,10
U000021,signup_start,ios,10
U000021,id_upload,ios,10
U000021,id_verified,ios,10
U000021,address_entered,ios,10
U000021,account_funded,ios,10
U000021,first_payment,ios,10
U000022,app_open,new_android,16
U000022,signup_start,new_android,16
U000023,app_open,new_android,17
U000023,signup_start,new_android,17
U000023,id_upload,new_android,17
U000023,id_verified,new_android,17
U000023,address_entered,new_android,17
U000024,app_open,ios,19
U000024,signup_start,ios,19
U000024,id_upload,ios,19
U000024,id_verified,ios,19
U000024,address_entered,ios,19
U000025,app_open,ios,13
U000026,app_open,old_android,9
U000026,signup_start,old_android,9
U000026,id_upload,old_android,9
U000027,app_open,new_android,17
U000027,signup_start,new_android,17
U000027,id_upload,new_android,17
U000028,app_open,new_android,19
U000029,app_open,new_android,12
U000030,app_open,ios,9
U000030,signup_start,ios,9
U000030,id_upload,ios,9
U000030,id_verified,ios,9
U000030,address_entered,ios,9
U000030,account_funded,ios,9
U000030,first_payment,ios,9
U000031,app_open,ios,10
U000031,signup_start,ios,10
U000031,id_upload,ios,10
U000032,app_open,ios,8
U000032,signup_start,ios,8
U000032,id_upload,ios,8
U000033,app_open,old_android,11
U000033,signup_start,old_android,11
U000033,id_upload,old_android,11
U000034,app_open,new_android,18
U000034,signup_start,new_android,18
U000035,app_open,ios,19
U000036,app_open,ios,12
U000036,signup_start,ios,12
U000037,app_open,new_android,11
U000037,signup_start,new_android,11
U000037,id_upload,new_android,11
U000038,app_open,new_android,19
U000039,app_open,ios,9
U000039,signup_start,ios,9
U000039,id_upload,ios,9
U000039,id_verified,ios,9
U000039,address_entered,ios,9
U000039,account_funded,ios,9
U000039,first_payment,ios,9
U000040,app_open,ios,19
U000040,signup_start,ios,19
U000040,id_upload,ios,19
U000040,id_verified,ios,19
U000040,address_entered,ios,19
U000040,account_funded,ios,19
U000041,app_open,new_android,17
U000042,app_open,new_android,7
U000043,app_open,ios,10
U000043,signup_start,ios,10
U000043,id_upload,ios,10
U000043,id_verified,ios,10
U000043,address_entered,ios,10
U000043,account_funded,ios,10
U000043,first_payment,ios,10
U000044,app_open,ios,9
U000044,signup_start,ios,9
U000044,id_upload,ios,9
U000044,id_verified,ios,9
U000044,address_entered,ios,9
U000044,account_funded,ios,9
U000044,first_payment,ios,9
U000045,app_open,ios,12
U000045,signup_start,ios,12
U000045,id_upload,ios,12
U000046,app_open,new_android,16
U000046,signup_start,new_android,16
U000046,id_upload,new_android,16
U000047,app_open,new_android,22
U000048,app_open,ios,16
U000048,signup_start,ios,16
U000048,id_upload,ios,16
U000049,app_open,new_android,9
U000049,signup_start,new_android,9
U000049,id_upload,new_android,9
U000049,id_verified,new_android,9
U000049,address_entered,new_android,9
U000049,account_funded,new_android,9
U000050,app_open,new_android,19
U000051,app_open,new_android,20
U000052,app_open,new_android,8
U000052,signup_start,new_android,8
U000053,app_open,new_android,12
U000053,signup_start,new_android,12
U000053,id_upload,new_android,12
U000053,id_verified,new_android,12
U000053,address_entered,new_android,12
U000054,app_open,ios,2
U000054,signup_start,ios,2
U000054,id_upload,ios,2
U000055,app_open,ios,22
U000055,signup_start,ios,22
U000055,id_upload,ios,22
U000056,app_open,ios,19
U000056,signup_start,ios,19
U000056,id_upload,ios,19
U000057,app_open,ios,8
U000057,signup_start,ios,8
U000058,app_open,old_android,10
U000058,signup_start,old_android,10
U000058,id_upload,old_android,10
U000059,app_open,ios,6
U000059,signup_start,ios,6
U000059,id_upload,ios,6
U000059,id_verified,ios,6
U000059,address_entered,ios,6
U000059,account_funded,ios,6
U000059,first_payment,ios,6
U000060,app_open,new_android,9
U000060,signup_start,new_android,9
U000060,id_upload,new_android,9
U000060,id_verified,new_android,9
