row_id,split
0,train
1,train
2,test
3,train
4,train
5,train
6,train
7,train
8,train
9,train
10,train
11,train
12,train
13,train
14,train
15,train
16,train
17,test
18,train
19,test
20,train
21,train
22,train
23,train
24,train
25,train
26,train
27,test
28,train
29,train
30,train
31,train
32,test
33,train
34,train
35,train
36,train
37,train
38,test
39,train
40,train
41,test
42,train
43,train
44,train
45,train
46,train
47,train
48,train
49,train
50,train
51,train
52,train
53,train
54,test
55,train
56,train
57,train
58,test
59,train
60,train
61,train
62,test
63,test
64,train
65,train
66,test
67,train
68,train
69,test
70,train
71,train
72,train
73,test
74,train
75,train
76,test
77,train
78,train
79,train
80,train
81,test
82,test
83,train
84,test
85,train
86,test
87,test
88,train
89,train
90,train
91,test
92,train
93,test
94,train
95,test
96,train
97,test
98,train
99,test
100,train
101,train
102,train
103,train
104,train
105,test
106,train
107,train
108,train
109,train
110,train
111,train
112,test
113,train
114,test
115,test
116,train
117,train
118,test
119,test
120,train
121,train
122,train
123,train
124,train
125,train
126,test
127,train
128,train
129,train
130,train
131,train
132,test
133,train
134,train
135,train
136,train
137,train
138,test
139,test
140,test
141,test
142,train
143,train
144,train
145,train
146,train
147,train
148,train
149,train
150,test
151,train
152,train
153,train
154,test
155,train
156,test
157,train
158,test
159,train
160,train
161,train
162,train
163,train
164,train
165,train
166,test
167,train
168,train
169,test
170,train
171,train
172,train
173,train
174,train
175,train
176,test
177,train
178,test
179,train
180,train
181,train
182,train
183,test
184,train
185,test
186,train
187,train
188,train
189,train
190,train
191,test
192,train
193,train
194,train
195,train
196,train
197,test
198,train
199,train
200,train
201,test
202,train
203,train
204,train
205,test
206,test
207,train
208,train
209,train
210,test
211,train
212,test
213,test
214,train
215,test
216,train
217,test
218,test
219,train
220,train
221,train
222,train
223,train
224,test
225,train
226,test
227,train
228,train
229,test
230,test
231,test
232,train
233,test
234,train
235,train
236,train
237,train
238,train
239,train
240,train
241,train
242,test
243,train
244,train
245,train
246,train
247,train
248,train
249,train
250,train
251,train
252,train
253,train
254,train
255,train
256,test
257,train
258,train
259,train
260,test
261,train
262,test
263,train
264,train
265,test
266,train
267,train
268,train
269,train
270,test
271,train
